pattern;total_row_count;total_sms_count;Stream_row_count;Stream_sms_count;Stream_total_cost;SMS_RU_row_count;SMS_RU_sms_count;SMS_RU_total_cost
Код(короткий);170982;170982;162993;162993;713784.29;7989;7989; 51258.09
Other;36036;80955;30809;72482;447430.88;5227;8473; 50194.40
Отклик;4913;9671;3538;7076; 35561.30;1375;2595; 16432.00
Лента;4245;9977;3955;8725; 52327.85;290;1252;  7753.55
Добавление в команду;176;352;161;322;  1935.18;15;30;   211.83
Пятерочка;2259;4549;2257;4543; 27244.52;2;6;    35.14
Tom Tailor;5;15;5;15;   105.18;;;
Собеседование;10;33;;;;10;33;   179.34
Недозвон;156;492;;;;156;492;  3009.32
Регистрация;60;120;;;;60;120;   729.17
Инструкция;49;98;;;;49;98;   609.61
